,iris,wine,zoo,dermatology,hepatitis,breathalyzer,haberman,glass,tae,heartdisease,lungcancer,Avg. Rank
Random Selection,12.157 (37),16.774 (45),13.909 (40),27.996 (20),7.517 (8),35.225 (26),29.227 (5),18.850 (3),11.429 (9),20.149 (33),2.897 (34),23.64
Uncertainty Sampling,14.810 (16),18.421 (37),19.035 (7),25.909 (26),5.942 (26),32.071 (53),27.652 (26),17.735 (7),11.274 (11),22.538 (7),4.220 (6),20.18
Margin Sampling,13.557 (20),18.219 (38),18.810 (9),28.257 (19),5.942 (26),32.071 (53),27.652 (26),17.858 (6),11.658 (6),22.538 (7),4.153 (8),19.82
Maximum Diversity Sampling,15.130 (14),15.818 (47),16.720 (32),23.648 (39),7.161 (20),31.155 (60),27.606 (27),16.745 (20),12.069 (1),20.835 (30),3.957 (14),27.64
Sparsity Minimization,6.667 (51),13.466 (54),10.078 (58),12.706 (64),7.670 (2),39.388 (3),29.152 (6),15.148 (38),9.432 (48),19.788 (34),3.017 (31),35.36
Diversity + Density Maximization,6.667 (51),15.768 (49),11.414 (47),21.511 (42),7.670 (2),37.204 (12),28.699 (11),16.085 (29),9.421 (49),21.284 (23),3.170 (28),31.18
Certainty + Sparsity Minimization,6.667 (51),17.353 (41),11.162 (50),23.706 (37),7.670 (2),38.890 (4),28.218 (17),16.990 (18),10.755 (20),21.227 (25),3.003 (32),27.00
CGCC,12.780 (26),19.453 (21),16.440 (34),25.245 (27),7.603 (5),31.496 (58),29.021 (7),16.099 (28),11.692 (5),22.092 (18),3.497 (23),22.91
CGRC,13.780 (19),20.237 (2),18.340 (19),29.541 (15),6.342 (25),31.580 (57),28.586 (12),17.057 (15),10.505 (26),20.848 (29),3.640 (21),21.82
CGLC,12.547 (35),18.533 (35),15.342 (39),28.909 (17),6.944 (21),36.040 (18),28.902 (8),17.055 (16),11.208 (12),22.632 (5),3.577 (22),20.73
CGDC,8.987 (49),17.551 (40),11.092 (51),20.876 (45),7.480 (9),30.559 (64),29.408 (2),15.725 (34),10.892 (17),15.987 (55),3.810 (18),34.91
CGCS,13.527 (21),17.933 (39),18.844 (8),26.880 (22),7.413 (12),31.841 (54),16.762 (62),15.977 (33),9.935 (40),14.457 (61),4.703 (1),32.09
CGRS,12.613 (32),20.402 (1),18.579 (10),30.847 (3),3.573 (29),30.240 (67),28.181 (18),17.101 (13),10.462 (28),17.347 (54),3.657 (20),25.00
CGLS,12.547 (35),18.950 (34),16.049 (36),29.027 (16),6.928 (23),35.632 (21),28.261 (15),16.876 (19),11.025 (15),22.655 (4),3.577 (22),21.82
CGDS,10.150 (43),10.297 (59),11.165 (49),17.877 (53),7.410 (13),30.509 (65),27.429 (30),14.752 (45),11.767 (4),14.508 (59),4.183 (7),38.82
LLAAPSisCLDM,9.420 (48),16.966 (44),12.797 (43),19.938 (49),6.936 (22),33.058 (42),25.426 (39),16.458 (25),10.493 (27),22.368 (13),3.767 (19),33.73
LLAAPSisCLTM,11.473 (38),7.790 (66),8.465 (61),18.907 (51),7.480 (9),30.756 (62),29.516 (1),14.712 (46),11.047 (14),14.456 (62),3.947 (15),38.64
LLAAPSisWSCLDM,6.667 (51),15.043 (52),10.001 (59),14.464 (61),7.653 (3),39.705 (1),23.179 (51),14.673 (48),9.541 (46),21.109 (26),2.540 (41),39.91
LLAAPSisWSCLTM,6.667 (51),8.349 (64),9.976 (60),14.319 (63),7.670 (2),32.817 (46),28.049 (20),16.396 (26),10.058 (36),18.822 (43),2.313 (45),41.45
LLADSCLDM,11.243 (39),12.223 (56),12.289 (45),20.412 (47),5.394 (28),35.468 (24),25.547 (38),15.470 (35),10.619 (23),22.207 (15),3.920 (16),33.27
LLADSCLTM,10.053 (44),7.808 (65),10.707 (54),17.631 (54),7.480 (9),30.933 (61),28.242 (16),15.127 (39),10.439 (29),14.466 (60),3.947 (15),40.55
LLADSWSCLDM,6.667 (51),15.067 (51),10.001 (59),14.325 (62),7.653 (3),39.416 (2),24.757 (42),14.989 (41),9.669 (45),20.951 (27),2.390 (42),38.64
LLADSWSCLTM,6.667 (51),8.370 (63),9.976 (60),14.738 (60),7.670 (2),33.091 (41),27.798 (24),17.012 (17),9.696 (44),18.473 (49),2.380 (43),41.27
LLAAPSesCLDM,9.420 (48),16.966 (44),12.797 (43),19.938 (49),6.936 (22),33.058 (42),25.426 (39),16.458 (25),10.493 (27),22.368 (13),3.767 (19),33.73
LLAAPSesCLTM,11.473 (38),7.790 (66),8.465 (61),18.907 (51),7.480 (9),30.756 (62),29.516 (1),14.712 (46),11.047 (14),14.456 (62),3.947 (15),38.64
LLAAPSesWSCLDM,6.667 (51),15.043 (52),10.001 (59),14.464 (61),7.653 (3),39.705 (1),23.179 (51),14.673 (48),9.541 (46),21.109 (26),2.540 (41),39.91
LLAAPSesWSCLTM,6.667 (51),8.349 (64),9.976 (60),14.319 (63),7.670 (2),32.817 (46),28.049 (20),16.396 (26),10.058 (36),18.822 (43),2.313 (45),41.45
LLTAPSisCLDM,10.613 (41),10.318 (58),10.596 (56),21.498 (43),7.329 (16),32.300 (50),24.180 (48),14.705 (47),10.673 (22),15.034 (57),4.107 (10),40.73
LLTAPSisCLTM,10.647 (40),10.060 (60),10.785 (53),19.795 (50),7.420 (11),31.695 (56),26.559 (35),14.932 (44),11.952 (3),14.538 (58),4.113 (9),38.09
LLTAPSisWSCLDM,6.667 (51),7.664 (68),9.976 (60),16.834 (56),7.680 (1),31.370 (59),25.136 (40),14.943 (43),10.204 (34),18.692 (47),2.680 (40),45.36
LLTAPSisWSCLTM,6.667 (51),10.417 (57),9.976 (60),15.852 (58),7.670 (2),32.640 (48),27.963 (22),16.055 (30),10.033 (37),18.405 (50),2.130 (47),42.00
LLTCCLDM,9.847 (45),18.456 (36),11.227 (48),22.811 (41),7.590 (7),32.264 (51),26.230 (37),15.458 (36),10.572 (24),22.516 (8),4.020 (12),31.36
LLTCCLTM,8.987 (49),15.785 (48),11.092 (51),21.037 (44),7.480 (9),30.337 (66),29.323 (4),16.031 (31),11.105 (13),15.977 (56),3.870 (17),35.27
LLTCWSCLDM,6.667 (51),12.573 (55),9.976 (60),17.285 (55),7.597 (6),37.648 (10),24.558 (43),14.482 (51),9.408 (50),20.897 (28),2.857 (35),40.36
LLTCWSCLTM,6.667 (51),9.767 (61),9.976 (60),17.285 (55),7.670 (2),36.000 (19),27.091 (32),14.474 (52),10.201 (35),19.288 (36),2.263 (46),40.82
LLTDSCLDM,9.700 (47),17.162 (43),6.815 (62),18.701 (52),5.473 (27),34.343 (30),24.927 (41),14.553 (49),10.674 (21),22.577 (6),4.013 (13),35.55
LLTDSCLTM,9.740 (46),8.936 (62),10.985 (52),20.058 (48),7.420 (11),31.829 (55),26.559 (35),15.036 (40),11.999 (2),14.538 (58),4.093 (11),38.18
LLTDSWSCLDM,6.667 (51),7.679 (67),9.976 (60),16.834 (56),7.597 (6),32.678 (47),21.809 (57),14.971 (42),10.323 (31),21.691 (21),3.153 (29),42.45
LLTDSWSCLTM,6.667 (51),10.417 (57),9.976 (60),15.852 (58),7.670 (2),32.594 (49),27.979 (21),16.011 (32),9.966 (39),18.405 (50),2.130 (47),42.36
LLTAPSesCLDM,10.613 (41),10.318 (58),10.596 (56),21.498 (43),7.329 (16),32.300 (50),24.180 (48),14.705 (47),10.673 (22),15.034 (57),4.107 (10),40.73
LLTAPSesCLTM,10.647 (40),10.060 (60),10.785 (53),19.795 (50),7.420 (11),31.695 (56),26.559 (35),14.932 (44),11.952 (3),14.538 (58),4.113 (9),38.09
LLTAPSesWSCLDM,6.667 (51),7.664 (68),9.976 (60),16.834 (56),7.680 (1),31.370 (59),25.136 (40),14.943 (43),10.204 (34),18.692 (47),2.680 (40),45.36
LLTAPSesWSCLTM,6.667 (51),10.417 (57),9.976 (60),15.852 (58),7.670 (2),32.640 (48),27.963 (22),16.055 (30),10.033 (37),18.405 (50),2.130 (47),42.00
LRAAPSisCLDM,15.310 (11),19.757 (12),17.978 (21),23.056 (40),7.433 (10),30.671 (63),26.452 (36),17.085 (14),10.867 (18),22.111 (17),4.610 (3),22.27
LRAAPSisCLTM,15.310 (11),19.757 (12),18.198 (20),23.056 (40),7.433 (10),30.671 (63),26.452 (36),17.085 (14),10.867 (18),22.111 (17),4.610 (3),22.18
LRAAPSisWSCLDM,6.667 (51),14.697 (53),10.092 (57),15.551 (59),7.670 (2),35.066 (27),28.845 (9),14.503 (50),8.565 (53),21.558 (22),2.850 (36),38.09
LRAAPSisWSCLTM,6.667 (51),16.159 (46),13.379 (41),20.663 (46),7.670 (2),34.445 (29),27.847 (23),15.157 (37),9.443 (47),21.901 (20),3.050 (30),33.82
LRADSCLDM,15.183 (13),19.396 (25),19.057 (5),27.126 (21),7.240 (19),33.387 (35),27.479 (29),17.418 (12),10.519 (25),22.879 (1),4.653 (2),17.00
LRADSCLTM,15.183 (13),19.396 (25),19.237 (1),27.126 (21),7.240 (19),33.387 (35),27.479 (29),17.418 (12),10.519 (25),22.879 (1),4.653 (2),16.64
LRADSWSCLDM,6.667 (51),15.571 (50),10.597 (55),16.651 (57),7.670 (2),35.554 (23),27.716 (25),14.432 (53),8.812 (52),22.378 (12),2.713 (39),38.09
LRADSWSCLTM,6.753 (50),19.460 (20),12.804 (42),24.184 (36),7.670 (2),34.811 (28),26.744 (33),16.350 (27),9.726 (43),22.482 (10),2.897 (34),29.55
LRAAPSesCLDM,15.310 (11),19.757 (12),17.978 (21),23.056 (40),7.433 (10),30.671 (63),26.452 (36),17.085 (14),10.867 (18),22.111 (17),4.610 (3),22.27
LRAAPSesCLTM,15.310 (11),19.757 (12),18.198 (20),23.056 (40),7.433 (10),30.671 (63),26.452 (36),17.085 (14),10.867 (18),22.111 (17),4.610 (3),22.18
LRAAPSesWSCLDM,6.667 (51),14.697 (53),10.092 (57),15.551 (59),7.670 (2),35.066 (27),28.845 (9),14.503 (50),8.565 (53),21.558 (22),2.850 (36),38.09
LRAAPSesWSCLTM,6.667 (51),16.159 (46),13.379 (41),20.663 (46),7.670 (2),34.445 (29),27.847 (23),15.157 (37),9.443 (47),21.901 (20),3.050 (30),33.82
LRTAPSisCLDM,14.910 (15),18.978 (33),19.055 (6),26.620 (23),7.407 (14),32.146 (52),26.649 (34),17.667 (8),11.294 (10),22.284 (14),4.370 (5),19.45
LRTAPSisCLTM,14.910 (15),18.978 (33),19.155 (2),26.620 (23),7.407 (14),32.146 (52),26.649 (34),17.667 (8),11.294 (10),22.284 (14),4.370 (5),19.09
LRTAPSisWSCLDM,13.037 (23),19.982 (7),15.452 (37),25.910 (25),7.670 (2),33.291 (37),27.228 (31),17.453 (11),9.931 (41),22.761 (2),2.813 (37),23.00
LRTAPSisWSCLTM,14.660 (17),19.617 (15),17.244 (22),29.649 (13),7.670 (2),32.891 (45),28.374 (13),18.595 (4),10.260 (33),22.153 (16),3.263 (26),18.73
LRTCCLDM,10.373 (42),19.508 (17),16.905 (25),31.015 (2),7.617 (4),35.627 (22),29.329 (3),16.502 (24),11.628 (7),22.750 (3),3.447 (25),15.82
LRTCCLTM,10.373 (42),19.508 (17),16.405 (35),31.015 (2),7.617 (4),35.627 (22),29.329 (3),16.502 (24),11.628 (7),22.750 (3),3.447 (25),16.73
LRTCWSCLDM,6.667 (51),17.250 (42),11.162 (50),23.684 (38),7.670 (2),38.000 (8),28.321 (14),16.622 (23),10.297 (32),21.263 (24),2.930 (33),28.82
LRTCWSCLTM,6.667 (51),17.250 (42),11.162 (50),23.648 (39),7.670 (2),38.000 (8),28.321 (14),16.655 (21),10.370 (30),21.263 (24),2.930 (33),28.55
LRTDSCLDM,15.233 (12),19.744 (13),19.107 (4),28.697 (18),7.387 (15),33.459 (34),27.487 (28),19.298 (2),11.534 (8),22.491 (9),4.567 (4),13.36
LRTDSCLTM,15.233 (12),19.744 (13),19.141 (3),28.697 (18),7.387 (15),33.459 (34),27.487 (28),19.298 (2),11.534 (8),22.491 (9),4.567 (4),13.27
LRTDSWSCLDM,13.373 (22),20.173 (4),15.397 (38),26.395 (24),7.670 (2),34.147 (31),28.113 (19),18.228 (5),9.771 (42),22.398 (11),2.780 (38),21.45
LRTDSWSCLTM,14.623 (18),19.960 (9),16.623 (33),29.583 (14),7.670 (2),35.671 (20),28.756 (10),20.023 (1),10.030 (38),21.978 (19),3.210 (27),17.36
LRTAPSesCLDM,14.910 (15),18.978 (33),19.055 (6),26.620 (23),7.407 (14),32.146 (52),26.649 (34),17.667 (8),11.294 (10),22.284 (14),4.370 (5),19.45
LRTAPSesCLTM,14.910 (15),18.978 (33),19.155 (2),26.620 (23),7.407 (14),32.146 (52),26.649 (34),17.667 (8),11.294 (10),22.284 (14),4.370 (5),19.09
LRTAPSesWSCLDM,13.037 (23),19.982 (7),15.452 (37),25.910 (25),7.670 (2),33.291 (37),27.228 (31),17.453 (11),9.931 (41),22.761 (2),2.813 (37),23.00
LRTAPSesWSCLTM,14.660 (17),19.617 (15),17.244 (22),29.649 (13),7.670 (2),32.891 (45),28.374 (13),18.595 (4),10.260 (33),22.153 (16),3.263 (26),18.73
LCAAPSisCLDM,15.323 (10),19.844 (10),18.370 (18),30.370 (9),6.342 (25),33.136 (39),21.912 (54),17.550 (10),10.791 (19),19.102 (39),3.473 (24),23.36
LCAAPSisCLTM,15.603 (8),19.325 (30),18.370 (18),30.368 (10),6.342 (25),32.925 (43),22.217 (53),17.550 (10),10.791 (19),18.977 (41),3.473 (24),25.55
LCAAPSisWSCLDM,12.513 (36),19.261 (31),12.350 (44),24.778 (32),7.249 (18),38.492 (6),24.106 (49),16.623 (22),9.097 (51),18.739 (44),2.317 (44),34.27
LCAAPSisWSCLTM,12.847 (24),19.495 (19),17.035 (23),24.805 (31),7.253 (17),37.139 (14),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),31.64
LCADSCLDM,15.390 (9),19.771 (11),18.455 (14),30.231 (11),6.342 (25),32.906 (44),21.881 (55),17.550 (10),10.791 (19),19.350 (35),3.473 (24),23.36
LCADSCLTM,15.727 (3),19.520 (16),18.440 (15),30.227 (12),6.342 (25),33.133 (40),21.864 (56),17.550 (10),10.791 (19),19.267 (37),3.473 (24),23.36
LCADSWSCLDM,12.627 (30),19.127 (32),12.130 (46),24.815 (29),7.249 (18),38.148 (7),24.226 (46),16.623 (22),9.097 (51),18.635 (48),2.317 (44),33.91
LCADSWSCLTM,12.830 (25),19.422 (22),16.955 (24),24.739 (35),7.253 (17),37.680 (9),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),32.00
LCAAPSesCLDM,15.323 (10),19.844 (10),18.370 (18),30.370 (9),6.342 (25),33.136 (39),21.912 (54),17.550 (10),10.791 (19),19.102 (39),3.473 (24),23.36
LCAAPSesCLTM,15.603 (8),19.325 (30),18.370 (18),30.368 (10),6.342 (25),32.925 (43),22.217 (53),17.550 (10),10.791 (19),18.977 (41),3.473 (24),25.55
LCAAPSesWSCLDM,12.513 (36),19.261 (31),12.350 (44),24.778 (32),7.249 (18),38.492 (6),24.106 (49),16.623 (22),9.097 (51),18.739 (44),2.317 (44),34.27
LCAAPSesWSCLTM,12.847 (24),19.495 (19),17.035 (23),24.805 (31),7.253 (17),37.139 (14),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),31.64
LCTAPSisCLDM,15.693 (4),19.973 (8),18.480 (13),30.723 (5),6.342 (25),32.891 (45),21.296 (60),17.550 (10),10.791 (19),19.170 (38),3.473 (24),22.82
LCTAPSisCLTM,15.670 (6),20.093 (6),18.495 (12),30.584 (8),6.342 (25),33.386 (36),21.317 (59),17.550 (10),10.791 (19),18.933 (42),3.473 (24),22.45
LCTAPSisWSCLDM,12.747 (28),19.408 (23),16.780 (31),24.811 (30),7.249 (18),37.016 (15),24.419 (45),16.623 (22),9.097 (51),18.259 (51),2.317 (44),32.55
LCTAPSisWSCLTM,12.600 (34),19.372 (26),16.800 (29),24.752 (33),7.253 (17),37.160 (13),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),33.82
LCTCCLDM,15.640 (7),19.496 (18),18.395 (16),30.802 (4),6.352 (24),34.110 (32),21.787 (58),17.552 (9),10.898 (16),20.248 (32),3.473 (24),21.82
LCTCCLTM,15.957 (1),20.218 (3),18.381 (17),31.052 (1),6.342 (25),35.427 (25),22.374 (52),17.552 (9),10.791 (19),20.665 (31),3.473 (24),18.82
LCTCWSCLDM,12.740 (29),19.344 (29),16.830 (28),24.811 (30),7.249 (18),38.502 (5),24.209 (47),16.623 (22),9.097 (51),18.721 (45),2.317 (44),31.64
LCTCWSCLTM,12.623 (31),19.357 (28),16.855 (27),24.742 (34),7.253 (17),36.234 (17),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.00
LCTDSCLDM,15.763 (2),19.707 (14),18.530 (11),30.679 (6),6.342 (25),33.159 (38),21.118 (61),17.550 (10),10.791 (19),18.720 (46),3.473 (24),23.27
LCTDSCLTM,15.673 (5),20.099 (5),18.495 (12),30.660 (7),6.342 (25),33.954 (33),21.317 (59),17.550 (10),10.791 (19),19.017 (40),3.473 (24),21.73
LCTDSWSCLDM,12.753 (27),19.399 (24),16.860 (26),24.825 (28),7.249 (18),37.214 (11),24.467 (44),16.623 (22),9.097 (51),18.251 (52),2.317 (44),31.55
LCTDSWSCLTM,12.607 (33),19.363 (27),16.785 (30),24.752 (33),7.253 (17),36.887 (16),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.18
LCTAPSesCLDM,15.693 (4),19.973 (8),18.480 (13),30.723 (5),6.342 (25),32.891 (45),21.296 (60),17.550 (10),10.791 (19),19.170 (38),3.473 (24),22.82
LCTAPSesCLTM,15.670 (6),20.093 (6),18.495 (12),30.584 (8),6.342 (25),33.386 (36),21.317 (59),17.550 (10),10.791 (19),18.933 (42),3.473 (24),22.45
LCTAPSesWSCLDM,12.747 (28),19.408 (23),16.780 (31),24.811 (30),7.249 (18),37.016 (15),24.419 (45),16.623 (22),9.097 (51),18.259 (51),2.317 (44),32.55
LCTAPSesWSCLTM,12.600 (34),19.372 (26),16.800 (29),24.752 (33),7.253 (17),37.160 (13),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),33.82
LL+RTAPSisWSCLDM,13.037 (23),19.982 (7),15.452 (37),25.910 (25),7.670 (2),33.291 (37),27.228 (31),17.453 (11),9.931 (41),22.761 (2),2.813 (37),23.00
LL+RTCCLTM,10.373 (42),19.508 (17),16.405 (35),31.015 (2),7.617 (4),35.627 (22),29.329 (3),16.502 (24),11.628 (7),22.750 (3),3.447 (25),16.73
LL+RTCWSCLTM,6.667 (51),17.250 (42),11.162 (50),23.648 (39),7.670 (2),38.000 (8),28.321 (14),16.655 (21),10.370 (30),21.263 (24),2.930 (33),28.55
LL+RTDSWSCLTM,14.623 (18),19.960 (9),16.623 (33),29.583 (14),7.670 (2),35.671 (20),28.756 (10),20.023 (1),10.030 (38),21.978 (19),3.210 (27),17.36
LL+CTAPSisWSCLDM,12.747 (28),19.408 (23),16.780 (31),24.811 (30),7.249 (18),37.016 (15),24.419 (45),16.623 (22),9.097 (51),18.259 (51),2.317 (44),32.55
LL+CTCCLTM,15.957 (1),20.218 (3),18.381 (17),31.052 (1),6.342 (25),35.427 (25),22.374 (52),17.552 (9),10.791 (19),20.665 (31),3.473 (24),18.82
LL+CTCWSCLTM,12.623 (31),19.357 (28),16.855 (27),24.742 (34),7.253 (17),36.234 (17),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.00
LL+CTDSWSCLTM,12.607 (33),19.363 (27),16.785 (30),24.752 (33),7.253 (17),36.887 (16),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.18
LR+CTAPSisWSCLDM,12.747 (28),19.408 (23),16.780 (31),24.811 (30),7.249 (18),37.016 (15),24.419 (45),16.623 (22),9.097 (51),18.259 (51),2.317 (44),32.55
LR+CTCCLTM,15.957 (1),20.218 (3),18.381 (17),31.052 (1),6.342 (25),35.427 (25),22.374 (52),17.552 (9),10.791 (19),20.665 (31),3.473 (24),18.82
LR+CTCWSCLTM,12.623 (31),19.357 (28),16.855 (27),24.742 (34),7.253 (17),36.234 (17),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.00
LR+CTDSWSCLTM,12.607 (33),19.363 (27),16.785 (30),24.752 (33),7.253 (17),36.887 (16),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.18
LL+R+CTAPSisWSCLDM,12.747 (28),19.408 (23),16.780 (31),24.811 (30),7.249 (18),37.016 (15),24.419 (45),16.623 (22),9.097 (51),18.259 (51),2.317 (44),32.55
LL+R+CTCCLTM,15.957 (1),20.218 (3),18.381 (17),31.052 (1),6.342 (25),35.427 (25),22.374 (52),17.552 (9),10.791 (19),20.665 (31),3.473 (24),18.82
LL+R+CTCWSCLTM,12.623 (31),19.357 (28),16.855 (27),24.742 (34),7.253 (17),36.234 (17),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.00
LL+R+CTDSWSCLTM,12.607 (33),19.363 (27),16.785 (30),24.752 (33),7.253 (17),36.887 (16),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.18
